company_id,year,horizon_years,revenue_cagr_value,revenue_cagr_flag,pat_cagr_value,pat_cagr_flag,eps_cagr_value,eps_cagr_flag
INDUSINDBK,Mar 2021,3,18.83,NORMAL,-7.69,DECLINE,-14.88,DECLINE
INDUSINDBK,Mar 2021,5,19.56,NORMAL,4.41,NORMAL,-0.53,DECLINE
IOC,Mar 2016,3,-9.17,DECLINE,50.7,NORMAL,38.67,NORMAL
IOC,Mar 2017,3,-10.05,DECLINE,43.03,NORMAL,40.95,NORMAL
IOC,Mar 2018,3,-2.12,DECLINE,66.84,NORMAL,71.0,NORMAL
IOC,Mar 2018,5,-1.81,DECLINE,44.22,NORMAL,37.97,NORMAL
IOC,Mar 2020,3,10.83,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
IOC,Mar 2020,5,1.48,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
IOC,Mar 2021,3,-4.78,DECLINE,-1.29,DECLINE,,INSUFFICIENT_DATA
IOC,Mar 2023,3,20.28,NORMAL,,TURNAROUND,,TURNAROUND
IOC,Mar 2023,5,14.84,NORMAL,-12.35,DECLINE,-14.14,DECLINE
IRCTC,Mar 2018,3,11.45,NORMAL,19.04,NORMAL,-5.42,DECLINE
IRCTC,Mar 2019,3,11.01,NORMAL,17.81,NORMAL,-40.51,DECLINE
IRCTC,Mar 2020,3,14.2,NORMAL,30.85,NORMAL,-18.29,DECLINE
